,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
61,29030.921875,22040.345703125,22472.119140625,15950.6396484375,7851.765625,,-5010.18359375,46412.125,32580.1953125,25457.86328125,22236.66796875,16163.7744140625,4675.9521484375,,,,,,,,,,,11758.5078125,,,,,,,8164.1708984375,,,9431.6328125,,,,,,7900.1474609375,,,,,,,7266.41259765625
62,28977.029296875,22000.22265625,22399.896484375,15939.45703125,7862.76171875,,-4985.0810546875,46242.46875,32515.7578125,25342.6953125,22170.845703125,16208.15625,4692.1943359375,,,,,,,,,,,11781.3671875,,,,,,,8178.8349609375,,,9471.6943359375,,,,,,7957.4287109375,,,,,,,7294.33837890625
63,28878.251953125,21940.623046875,22354.68359375,15887.181640625,7852.3173828125,,-4974.94140625,46219.62109375,32551.373046875,25301.15625,22177.224609375,16202.9716796875,4704.560546875,,,,,,,,,,,11806.08984375,,,,,,,8215.5966796875,,,9507.015625,,,,,,7961.4697265625,,,,,,,7339.509765625
64,28811.578125,21924.982421875,22283.26953125,15895.583984375,7881.52099609375,,-4984.99853515625,46159.34765625,32377.35546875,25253.1640625,22140.666015625,16222.177734375,4731.36181640625,,,,,,,,,,,11833.8603515625,,,,,,,8247.2451171875,,,9535.8017578125,,,,,,7994.84228515625,,,,,,,7378.97998046875
65,28752.390625,21883.015625,22213.5078125,15845.57421875,7903.0078125,,-4970.79052734375,46000.20703125,32403.986328125,25215.5859375,22087.48046875,16188.3583984375,4751.99658203125,,,,,,,,,,,11897.134765625,,,,,,,8291.3740234375,,,9567.5947265625,,,,,,8012.048828125,,,,,,,7387.23681640625
66,28696.484375,21842.736328125,22145.373046875,15812.736328125,7916.3720703125,,-4967.39599609375,45929.11328125,32231.703125,25088.0859375,22042.025390625,16189.978515625,4807.02490234375,,,,,,,,,,,11955.4189453125,,,,,,,8324.9326171875,,,9620.236328125,,,,,,8051.767578125,,,,,,,7410.634765625
67,28592.56640625,21785.521484375,22089.19140625,15793.673828125,7925.84130859375,,-4958.94140625,45846.1640625,31757.3203125,25072.720703125,22020.7109375,16177.728515625,4827.06884765625,,,,,,,,,,,11949.8388671875,,,,,,,8342.5751953125,,,9658.9443359375,,,,,,8093.32568359375,,,,,,,7450.3798828125
68,28568.23828125,21758.4609375,22035.4140625,15755.611328125,7945.15185546875,,-4957.03076171875,45701.859375,32146.7265625,24993.15234375,21982.275390625,16175.5283203125,4843.0625,,,,,,,,,,,12007.8984375,,,,,,,8373.8603515625,,,9669.1044921875,,,,,,8119.6455078125,,,,,,,7476.22998046875
69,28479.9921875,21661.22265625,21985.0078125,15712.9462890625,7946.8056640625,,-4946.39208984375,45631.0703125,32051.52734375,24880.85546875,21878.29296875,16194.22265625,4808.8583984375,,,,,,,,,,,12044.541015625,,,,,,,8402.640625,,,9679.669921875,,,,,,8130.85107421875,,,,,,,7501.12890625
70,28398.107421875,21641.40625,21930.376953125,15691.005859375,7964.74462890625,,-4931.28369140625,45528.99609375,31925.37109375,24759.21484375,21809.8203125,16180.9755859375,4882.78955078125,,,,,,,,,,,12083.35546875,,,,,,,8440.7490234375,,,9734.7861328125,,,,,,8151.03955078125,,,,,,,7532.9111328125
71,28331.96484375,21565.59375,21880.40234375,15651.7275390625,7967.3701171875,,-4968.9072265625,45430.9375,31904.74609375,24690.86328125,21720.076171875,16183.701171875,4905.84375,,,,,,,,,,,12130.974609375,,,,,,,8517.7197265625,,,9744.2255859375,,,,,,8202.087890625,,,,,,,7560.97119140625
72,28272.11328125,21557.578125,21811.455078125,15647.353515625,8006.33837890625,,-4949.28173828125,45273.74609375,31837.5,24567.8828125,21793.0703125,16171.7333984375,4914.49853515625,,,,,,,,,,,12163.0615234375,,,,,,,8516.51171875,,,9808.345703125,,,,,,8226.126953125,,,,,,,7595.8896484375
73,28186.75,21473.375,21762.921875,15619.28125,7991.56640625,,-4945.98388671875,45118.34765625,31896.921875,24481.943359375,21702.078125,16147.7294921875,4912.12109375,,,,,,,,,,,12196.1484375,,,,,,,8548.6015625,,,9789.71484375,,,,,,8220.6181640625,,,,,,,7614.501953125
74,28124.26171875,21430.4921875,21716.06640625,15563.138671875,7988.10986328125,,-4954.3115234375,45026.80859375,31794.796875,24408.31640625,21696.484375,16152.51171875,4899.98681640625,,,,,,,,,,,12219.15625,,,,,,,8602.5185546875,,,9814.3271484375,,,,,,8278.1708984375,,,,,,,7644.14208984375
75,28078.23046875,21412.244140625,21735.04296875,15548.29296875,8021.361328125,,-4938.33935546875,44849.25,31700.357421875,24297.8203125,21574.833984375,16148.40234375,4946.03271484375,,,,,,,,,,,12252.59765625,,,,,,,8608.998046875,,,9868.740234375,,,,,,8279.2138671875,,,,,,,7683.76416015625
76,27968.419921875,21387.41015625,21629.552734375,15543.1591796875,8028.93359375,,-4929.89453125,44744.88671875,31232.0859375,24220.005859375,21576.67578125,16150.43359375,4973.9453125,,,,,,,,,,,12271.802734375,,,,,,,8655.203125,,,9919.142578125,,,,,,8317.8583984375,,,,,,,7725.1533203125
77,27904.6640625,21314.265625,21634.7890625,15507.9189453125,8003.13818359375,,-4946.958984375,44619.5078125,31460.46484375,24127.4609375,21515.5703125,16151.494140625,4978.6552734375,,,,,,,,,,,12320.8408203125,,,,,,,8651.005859375,,,9922.8984375,,,,,,8349.6796875,,,,,,,7725.1328125
78,27832.3828125,21292.435546875,21575.009765625,15477.1171875,8023.92626953125,,-4925.3056640625,44425.12109375,31498.1015625,24024.208984375,21538.5703125,16146.021484375,4991.5400390625,,,,,,,,,,,12335.44921875,,,,,,,8689.4912109375,,,9925.8818359375,,,,,,8366.3125,,,,,,,7763.58544921875
79,27781.390625,21248.462890625,21569.84375,15420.1826171875,8042.9013671875,,-4939.9853515625,44340.33203125,31386.505859375,23942.392578125,21474.576171875,16144.21484375,5027.61083984375,,,,,,,,,,,12374.234375,,,,,,,8692.703125,,,10000.37109375,,,,,,8397.64453125,,,,,,,7776.1943359375
80,27701.2890625,21245.8515625,21515.5078125,15416.5029296875,8058.4697265625,,-4940.416015625,44215.60546875,31312.66015625,23889.30078125,21471.74609375,16132.39453125,5016.72216796875,,,,,,,,,,,12407.7314453125,,,,,,,8733.166015625,,,10015.1513671875,,,,,,8431.0869140625,,,,,,,7805.37060546875
81,27754.5,21213.591796875,21556.34375,15372.7236328125,8046.57373046875,,-4912.4130859375,44201.37109375,31515.55859375,23754.048828125,21422.564453125,16122.3310546875,5024.7841796875,,,,,,,,,,,12495.6201171875,,,,,,,8886.1689453125,,,10051.693359375,,,,,,8447.7353515625,,,,,,,7848.23388671875
82,27664.1796875,21148.19140625,21508.01953125,15369.41796875,8092.28515625,,-4917.1005859375,44077.953125,31512.572265625,23678.015625,21393.5703125,16149.244140625,5036.1484375,,,,,,,,,,,12519.806640625,,,,,,,8891.8701171875,,,10079.0400390625,,,,,,8495.427734375,,,,,,,7870.5537109375
83,27603.146484375,21178.134765625,21507.990234375,15361.640625,8078.291015625,,-4919.3955078125,43978.09765625,31402.818359375,23595.708984375,21354.16796875,16156.4404296875,5068.576171875,,,,,,,,,,,12535.9169921875,,,,,,,8919.9130859375,,,10108.130859375,,,,,,8506.8212890625,,,,,,,7903.2080078125
84,27529.53515625,21115.6640625,21503.716796875,15319.4150390625,8099.7158203125,,-4901.037109375,43769.1640625,31248.482421875,23484.19140625,21314.849609375,16178.2265625,5077.439453125,,,,,,,,,,,12583.388671875,,,,,,,8974.470703125,,,10128.7265625,,,,,,8512.4892578125,,,,,,,7931.2578125
